2,5,7,6,8,11,17,19,21,34,35,39,41,50
3,4,9,13,23,27,28,30,32,33,35,36,40,42,46,47,51
4,5,9,16,38,60
5
6,2,7,50
7,2,50
8,2,5,6,11,17,19,21,34,41
9
10,3,8,23,26,32,33,36,40,42,43,48,53,54,55
11,2,5,8,17,19,21,24,30,34,35,39,41,50
12,29,31
13
14,3
15,38,13,12,9
16,4,38,60
17,2,5,8,11,19,21,24,30,34,35,39,41,50
18,17,22
19,2,8,11,17,21,34,35,39,41,70
20,44
21,2,8,11,17,19,34,35,39,41
22,18
23,3,25,32,36,40,12,47
24
25
26,3,10,28,30,43,47,48,51,42,53,54,55
27,3,51,63,25,28
28,2,3,4,5,6,10,11,13,14,17,19,25,26,27,30,32,33,36
29,12,31
30
31,29,31
32,3,10,23,25,28,30,33,36,40,48
33,8,10,23,30,32,40,53,54
34
35,2,3,5,6,11,17,19,21,34,39
36,23,40,12
37
38,3,4,9,12,13,15,16,17,19
39
40,23,32,33,10,36,47
41,2,8,11,17,19,21,34,35
42,10,26,47,43,53,54,57
43,10,26,30,42,47,48
44,20
45,30,37
47,26,40,23,54,42,53
48,8,10,25,30,32,43
49
50,2,6,7,19,20
51
52,2,5,7,8,11,17,19,21,34,35,46,50,69,70
53,10,26,32,33,42,47,53,57
54,10,26,32,33,42,47,53,57
55
56,2,7,50
57,23,30,42,43,44,47
60,4,16,38,30
63,27
69,70
70,19,21,69
