2,7,50
3,51
4
5
6,50
7,2,50
8,19
9
10,23,32,33,40,42,43,48
11
12,29,31,36,38
13,15,3,38
14
15
16
17
18,9,22
19,8,41
20
21
22,18
23,3,36,40
24
25
26,43,47,48,42,53,54,55
27
28,3
29,12,31
30
31,29,31
32,10,33
33,8,10,32,40,53,54
34
35
36
37
38
39
40,23,32,33,10,36,47
41,19
42,26,47,43,53,54,57
43,10,26,30,42,48,60
44
45
47,26,40,23,54,42,53
48,10,25,43
49
50,2,6,7
51
52,2
53,26,42,47,54,33,57
54,26,42,47,53
55
56
57,42,53,54
60,38
63
69
70,1
