2,17
3,13,51
4,9,16,17,30,38,60,69
5
6,14
7
8
9,4,38
10,32,33,43,48
11,17,21
12,29,31
13,15,3,38
14,6
15,13
16,4,38,60
17,11,21
18,22
19,41
20,44
21,11,17
22,18
23,25,36,40,32
24
25
26,43,47,48,42,53,54
27
28,3,51
29,12,31
30,47,48,60
31,12,29
32,10,33,40,23,25
33,8,10,32,53,54
34
35
36,23,32,40
37,2,21
38,4,9,12,16
39
40,23,36,32
41,19
42,10,26,43,53,54,55,47,57
43,10,26,30,48,42
44,20
45
47,26,54,42,53
48,34,45,12,25
49
50,6
51,3,13,27
52,2,5
53,42,47,54,57
54,26,42,47,53,57
55
56
57,53,54
60,4,16,38,30
63
69,70
70,69
