2,7,21,50
3,51
4,9
5
6,50
7,2,50
8
9
10,32,33,40,48,53,54
11,17,21,34
12,29
13
14
15
16
17,11,21,34
18
19,41
20,44
21,11,17
22
23,36,40
24
25
26,47,42,53,54
27
28
29,12,31
30
31,29
32,10,33,40
33,8,10,32,53,54
34,11,17
35
36,23,40
37
38
39
40,23,32,33,10,36
41,8,19
42,43,47,53,54,26
43,42
44,20
45,2,50
47,26,54,42,53
48,10,46,60,25
49
50,2,7
51
52,2
53,33,32,10,54,47,42,26,57
54,10,26,32,33,42,47,53,57
55
56
57,53,54
60
63
69
70,1
