2,7,17,21,37,50
3,9,13,23,28,40,51
4,9,16,38,60,69
5,17
6,50
7,2,50
8,19,21,41
9,3,4,15,17,38
10,23,32,33,40,43,48,42
11,17,21,34
12,29,31
13,15,3,38
14
15,38,13,9,12
16,4,38,60
17,11,21,34
18,9,22
19,8,41
20,44
21,11,17
22,18
23,3,25,32,36,40
24
25
26,43,47,48,54,3,42,53,54,55
27,63,51
28,3
29,12,31
30,5,10,17,61,16,32
31,12,29
32,10,33,40
33,8,10,32,40,53,54
34,11,17
35
36,12,23,40
37
38,17,9,4,15
39
40,3,23,32,33,10,36
41,8,19
42,10,26,43,38,47,53,54,55,57
43,10,26,30,42,47,48,60
44,20
45,2,50
47,26,40,23,54,42,53
48,10,15,36,25
49,10,26
50,2,7
51,3,13,30
52,2,5,8,17,21,50,69
53,33,32,10,54,47,42,26,57
54,10,26,32,33,42,47,53,57
55
56
57,5,23,33,42,53,54
60,38
63,27
69,70,38,3,4
70,69
