2,7,50
3,51
4,9,16,17,30,38,60,69
5
6,50
7
8
9
10,32,33,43,48
11,17,21
12,29,31
13,15,3,38
14,6
15,38,13,12,9
16,4,38,60
17
18,9,22
19,8,17,41
20,44
21,2,3,11,17,30,37
22,18
23,3,36,40
24
25
26,3,43,47,48,42,53,54,55
27
28,3
29,12,31
30
31,29,31
32,10,33,25,40,23,36
33,8,10,32,40,53,54
34
35
36,12,23,40
37
38
39
40,23,32,33,10,36,47,3
41,19
42,10,26,47,43,53,54,57
43,10,26,42,48
44,20
45,37
47,26,40,23,54,42,53
48,10,25,30,32,43
49
50,2,6,7
51
52,2,5
53,26,42,47,54,33,57
54,26,42,47,53,57
55
56
57,42,53,54
60,4,16,38,30
63,27
69,70,38,3,4
70,69
