2,50
3
4
5
6
7
8
9
10,32,33
11
12,29
13
14
15
16
17
18
19,41
20
21
22
23,40
24
25
26
27
28
29,12,31
30
31,29
32,10,33
33,10,32,53,54
34
35
36,40
37
38
39
40,36,23
41,19
42,26,47,43,53,54
43,42
44
45
47,54,42,53,26
48,25
49
50,2,7
51
52,2
53,26,42,47,54,33,32,10,57
54,26,42,47,53,57
55
56
57,53,54
60
63
69
70,1
